,Historical Price,Validation (Actual),LSTM Predictions
1999-11-01,0.0448983087970134,,
1999-11-02,0.0477641582946951,,
1999-11-03,0.0524259401442574,,
1999-11-04,0.055769431224886,,
1999-11-05,0.0539734988730055,,
1999-11-08,0.0555210576017536,,
1999-11-09,0.0546995140790848,,
1999-11-10,0.0542218724961379,,
1999-11-11,0.0580430051597135,,
1999-11-12,0.0611381226172097,,
1999-11-15,0.0599535714915013,,
1999-11-16,0.0656852704868647,,
1999-11-17,0.0681881123815067,,
1999-11-18,0.0684173803413213,,
1999-11-19,0.0819250843070611,,
1999-11-22,0.0817913446638359,,
1999-11-23,0.0759450116885652,,
1999-11-24,0.0735568037738305,,
1999-11-26,0.0730791621908835,,
1999-11-29,0.0704616863163342,,
1999-11-30,0.0661629120698117,,
1999-12-01,0.0695064031504403,,
1999-12-02,0.0746267209196316,,
1999-12-03,0.072849894231069,,
1999-12-06,0.074875094542764,,
1999-12-07,0.072372252648122,,
1999-12-08,0.0755820040855256,,
1999-12-09,0.0733275358140159,,
1999-12-10,0.0724868866280293,,
1999-12-13,0.0722385130048969,,
1999-12-14,0.0710539618791884,,
1999-12-15,0.068780387944361,,
1999-12-16,0.068302746361414,,
1999-12-17,0.0718946110651751,,
1999-12-20,0.077855578020353,,
1999-12-21,0.0811990691009817,,
1999-12-22,0.0831096354327695,,
1999-12-23,0.0886120664683184,,
1999-12-27,0.0852685753876897,,
1999-12-28,0.0850202017645573,,
1999-12-29,0.087886051262239,,
1999-12-30,0.0886120664683184,,
1999-12-31,0.0896819836141195,,
2000-01-03,0.0894336099909871,,
2000-01-04,0.0870454020762524,,
2000-01-05,0.0844279262017031,,
2000-01-06,0.0786962272063397,,
2000-01-07,0.0800145179752733,,
2000-01-10,0.0826319938498225,,
2000-01-11,0.0792885027691939,,
2000-01-12,0.0772633024574988,,
2000-01-13,0.0804921595582202,,
2000-01-14,0.0839502846187561,,
2000-01-18,0.0875230436591993,,
2000-01-19,0.0867015001365306,,
2000-01-20,0.0864531265133981,,
2000-01-21,0.0854978433475043,,
2000-01-24,0.0816767106839286,,
2000-01-25,0.0809698011411672,,
2000-01-26,0.0776263100605385,,
2000-01-27,0.0735568037738305,,
2000-01-28,0.0714169694822281,,
2000-01-31,0.070805588256056,,
2000-02-01,0.0724868866280293,,
2000-02-02,0.0745120869397244,,
2000-02-03,0.0757157437287507,,
2000-02-04,0.0774925704173133,,
2000-02-07,0.0727161545878438,,
2000-02-08,0.0761933853116976,,
2000-02-09,0.0781039516434855,,
2000-02-10,0.0940953918405494,,
2000-02-11,0.0955283165893902,,
2000-02-14,0.110812847243693,,
2000-02-15,0.10651407299717,,
2000-02-16,0.111405122806547,,
2000-02-17,0.115359995113348,,
2000-02-18,0.128733959435862,,
2000-02-22,0.125142094732101,,
2000-02-23,0.125868109938181,,
2000-02-24,0.124664453149154,,
2000-02-25,0.116907553842096,,
2000-02-28,0.116066904656109,,
2000-02-29,0.122276245234419,,
2000-03-01,0.118703486193976,,
2000-03-02,0.110698213263785,,
2000-03-03,0.112494145615666,,
2000-03-06,0.111768130409587,,
2000-03-07,0.159169281101242,,
2000-03-08,0.160487571870176,,
2000-03-09,0.191629803078317,,
2000-03-10,0.225446827150961,,
2000-03-13,0.285247553335919,,
2000-03-14,0.210353353129837,,
2000-03-15,0.201755804636792,,
2000-03-16,0.179918031464458,,
2000-03-17,0.190827365218966,,
2000-03-20,0.190693625575741,,
2000-03-21,0.181274533560027,,
2000-03-22,0.182573718665643,,
2000-03-23,0.185802575766364,,
2000-03-24,0.178045676459305,,
2000-03-27,0.166333904845446,,
2000-03-28,0.153915223688826,,
2000-03-29,0.143770116467032,,
2000-03-30,0.142929467281046,,
2000-03-31,0.161404643709434,,
2000-04-03,0.148794905919634,,
2000-04-04,0.143292474884085,,
2000-04-05,0.175179826961624,,
2000-04-06,0.183299733871722,,
2000-04-07,0.196024105641429,,
2000-04-10,0.17863795202216,,
2000-04-11,0.16801520321742,,
2000-04-12,0.150571732608197,,
2000-04-13,0.144133124070072,,
2000-04-14,0.131446963627001,,
2000-04-17,0.138153051451576,,
2000-04-18,0.162646511825096,,
2000-04-19,0.154870506854719,,
2000-04-20,0.154048963332051,,
2000-04-24,0.146406698004899,,
2000-04-25,0.162398138201963,,
2000-04-26,0.160735945493308,,
2000-04-27,0.17386153619269,,
2000-04-28,0.170288777152247,,
2000-05-01,0.175772102524478,,
2000-05-02,0.168970486383313,,
2000-05-03,0.166219270865539,,
2000-05-04,0.168244471177234,,
2000-05-05,0.17602047614761,,
2000-05-08,0.169562761946168,,
2000-05-09,0.167174554031433,,
2000-05-10,0.150705472251422,,
2000-05-11,0.157144080789547,,
2000-05-12,0.152367664960077,,
2000-05-15,0.16287577978491,,
2000-05-16,0.179593235188054,,
2000-05-17,0.211117579662552,,
2000-05-18,0.196788332174144,,
2000-05-19,0.195068822475535,,
2000-05-22,0.207869616898513,,
2000-05-23,0.206150107199904,,
2000-05-24,0.203475314335401,,
2000-05-25,0.200609464837719,,
2000-05-26,0.201564748003613,,
2000-05-30,0.20997123986348,,
2000-05-31,0.215511882225664,,
2000-06-01,0.224109430718709,,
2000-06-02,0.251430529263275,,
2000-06-05,0.256780114992281,,
2000-06-06,0.243979320569303,,
2000-06-07,0.233089092478112,,
2000-06-08,0.234808602176721,,
2000-06-09,0.241495584337978,,
2000-06-12,0.235190715443079,,
2000-06-13,0.242450867503872,,
2000-06-14,0.242259810870694,,
2000-06-15,0.248564679765593,,
2000-06-16,0.286202836501813,,
